IP Start|IP End|AS Type|Country|Country Code|Region|Postal Code|Organization|Time Zone|Full Country Name|Country Code|AS Number
255.160.11.14|45.3.117.242|EU|瑞典|SE|哈兰省|31000|Telia Network Services|+0200|瑞典|SE|AS3301
83.190.64.238|83.190.64.238|AS|中国|CN|广东|440000|中国电信|+0800|中国|CN|AS141748
210.5.183.245|210.5.183.245|AS|中国|CN|广东|440000|中国电信|+0800|中国|CN|AS141748
143.209.102.78|194.170.169.119|EU|美国|US|德克萨斯州|75001|AT&T Services Inc.|-0500|美国|US|AS7018
116.245.175.1|225.57.209.194|NA|美国|US|德克萨斯州|75001|AT&T Services Inc.|-0500|美国|US|AS7018
115.165.124.193|241.5.228.163|NA|巴西|BR|帕拉州|66000|Telefonica Brasil S.A|-0300|巴西|BR|AS26599
215.66.247.223|120.145.72.9|AS|瑞典|SE|哈兰省|31000|Telia Network Services|+0200|瑞典|SE|AS3301
5.140.222.129|5.140.222.129|NA|美国|US|德克萨斯州|75001|AT&T Services Inc.|-0500|美国|US|AS7018
119.58.140.173|119.58.140.173|NA|美国|US|德克萨斯州|75001|AT&T Services Inc.|-0500|美国|US|AS7018
231.79.166.98|93.70.132.138|EU|美国|US|德克萨斯州|75001|AT&T Services Inc.|-0500|美国|US|AS7018
246.117.233.93|246.117.233.93|EU|巴西|BR|帕拉州|66000|Telefonica Brasil S.A|-0300|巴西|BR|AS26599
104.238.213.185|104.238.213.185|AS|意大利|IT|伦巴第|20100|Fastweb SpA|+0100|意大利|IT|AS12874
123.132.52.119|123.132.52.119|AS|意大利|IT|伦巴第|20100|Fastweb SpA|+0100|意大利|IT|AS12874
123.249.4.232|123.249.4.232|NA|中国|CN|广东|440000|中国电信|+0800|中国|CN|AS141748
162.120.224.142|16.225.232.33|NA|巴西|BR|帕拉州|66000|Telefonica Brasil S.A|-0300|巴西|BR|AS26599
240.39.180.197|240.39.180.197|NA|美国|US|德克萨斯州|75001|AT&T Services Inc.|-0500|美国|US|AS7018
45.24.25.148|111.143.172.208|EU|巴西|BR|帕拉州|66000|Telefonica Brasil S.A|-0300|巴西|BR|AS26599
114.40.77.31|114.92.80.250|AS|巴西|BR|帕拉州|66000|Telefonica Brasil S.A|-0300|巴西|BR|AS26599
95.241.80.101|241.165.27.176|EU|瑞典|SE|哈兰省|31000|Telia Network Services|+0200|瑞典|SE|AS3301
203.45.195.115|203.45.195.115|NA|越南|VN|北宁省|16000|FPT Telecom|+0700|越南|VN|AS18403
35.253.64.231|35.253.64.231|EU|中国|CN|广东|440000|中国电信|+0800|中国|CN|AS141748
53.212.206.148|211.22.12.9|NA|意大利|IT|伦巴第|20100|Fastweb SpA|+0100|意大利|IT|AS12874
125.227.194.106|82.81.238.33|EU|美国|US|德克萨斯州|75001|AT&T Services Inc.|-0500|美国|US|AS7018
137.231.99.195|167.202.130.17|AS|巴西|BR|帕拉州|66000|Telefonica Brasil S.A|-0300|巴西|BR|AS26599
237.207.230.0|6.21.99.255|AS|中国|CN|广东|440000|中国电信|+0800|中国|CN|AS141748
177.82.80.111|177.82.80.111|AS|中国|CN|广东|440000|中国电信|+0800|中国|CN|AS141748
40.28.54.91|222.161.65.51|NA|意大利|IT|伦巴第|20100|Fastweb SpA|+0100|意大利|IT|AS12874
48.127.222.56|48.127.222.56|NA|意大利|IT|伦巴第|20100|Fastweb SpA|+0100|意大利|IT|AS12874
10.85.18.173|195.12.157.203|EU|越南|VN|北宁省|16000|FPT Telecom|+0700|越南|VN|AS18403
233.239.23.38|224.238.88.36|AS|巴西|BR|帕拉州|66000|Telefonica Brasil S.A|-0300|巴西|BR|AS26599
83.215.132.123|123.93.251.26|NA|瑞典|SE|哈兰省|31000|Telia Network Services|+0200|瑞典|SE|AS3301
165.13.202.113|165.13.202.113|NA|美国|US|德克萨斯州|75001|AT&T Services Inc.|-0500|美国|US|AS7018
139.196.73.73|139.196.73.73|AS|意大利|IT|伦巴第|20100|Fastweb SpA|+0100|意大利|IT|AS12874
60.20.5.21|189.97.122.93|AS|瑞典|SE|哈兰省|31000|Telia Network Services|+0200|瑞典|SE|AS3301
111.86.78.107|111.86.78.107|AS|越南|VN|北宁省|16000|FPT Telecom|+0700|越南|VN|AS18403
104.144.1.189|5.144.104.82|AS|瑞典|SE|哈兰省|31000|Telia Network Services|+0200|瑞典|SE|AS3301
33.244.254.59|33.244.254.59|EU|意大利|IT|伦巴第|20100|Fastweb SpA|+0100|意大利|IT|AS12874
228.171.141.202|228.171.141.202|NA|越南|VN|北宁省|16000|FPT Telecom|+0700|越南|VN|AS18403
243.174.177.206|243.174.177.206|NA|瑞典|SE|哈兰省|31000|Telia Network Services|+0200|瑞典|SE|AS3301
213.217.244.249|213.217.244.249|AS|美国|US|德克萨斯州|75001|AT&T Services Inc.|-0500|美国|US|AS7018
83.181.201.247|83.181.201.247|EU|中国|CN|广东|440000|中国电信|+0800|中国|CN|AS141748
243.88.129.69|77.216.130.180|EU|越南|VN|北宁省|16000|FPT Telecom|+0700|越南|VN|AS18403
14.89.31.53|132.221.28.99|AS|巴西|BR|帕拉州|66000|Telefonica Brasil S.A|-0300|巴西|BR|AS26599
174.76.131.128|223.134.61.23|NA|意大利|IT|伦巴第|20100|Fastweb SpA|+0100|意大利|IT|AS12874
141.204.14.244|12.15.116.214|NA|巴西|BR|帕拉州|66000|Telefonica Brasil S.A|-0300|巴西|BR|AS26599
13.130.98.83|13.130.98.83|NA|瑞典|SE|哈兰省|31000|Telia Network Services|+0200|瑞典|SE|AS3301
38.193.86.67|21.229.72.244|AS|意大利|IT|伦巴第|20100|Fastweb SpA|+0100|意大利|IT|AS12874
170.102.189.170|127.129.233.140|AS|中国|CN|广东|440000|中国电信|+0800|中国|CN|AS141748
139.203.137.138|139.203.137.138|NA|瑞典|SE|哈兰省|31000|Telia Network Services|+0200|瑞典|SE|AS3301
